Mar 14 14:31:29 lvl2: 	EmulationStation - v2.10.1rp, built Dec 26 2021 - 16:25:37
Mar 14 14:31:29 lvl2: 	Parsing XML file "/opt/retropie/supplementary/emulationstation/resources/mamenames.xml"...
Mar 14 14:31:29 lvl2: 	Parsing XML file "/opt/retropie/supplementary/emulationstation/resources/mamebioses.xml"...
Mar 14 14:31:29 lvl2: 	Parsing XML file "/opt/retropie/supplementary/emulationstation/resources/mamedevices.xml"...
Mar 14 14:31:29 lvl2: 	Creating window...
Mar 14 14:31:30 lvl2: 	Created window successfully.
Mar 14 14:31:30 lvl2: 	GL vendor:   Broadcom
Mar 14 14:31:30 lvl2: 	GL renderer: V3D 4.2
Mar 14 14:31:30 lvl2: 	GL version:  2.1 Mesa 19.3.2
Mar 14 14:31:30 lvl2: 	Checking available OpenGL extensions...
Mar 14 14:31:30 lvl2: 	 ARB_texture_non_power_of_two: ok
Mar 14 14:31:31 lvl2: 	Added known joystick DragonRise Inc.   Generic   USB  Joystick   (instance ID: 0, device index: 0)
Mar 14 14:31:31 lvl2: 	Added known joystick DragonRise inc.   Generic   USB  Joystick   (instance ID: 1, device index: 1)
Mar 14 14:31:31 lvl2: 	Loading system config file /etc/emulationstation/es_systems.cfg...
Mar 14 14:31:31 lvl1: 	Error - folder with path "/home/pi/RetroPie/roms/amstradcpc" is not a directory!
Mar 14 14:31:31 lvl1: 	System "amstradcpc" has no games! Ignoring it.
Mar 14 14:31:31 lvl1: 	Error - folder with path "/home/pi/RetroPie/roms/arcade" is not a directory!
Mar 14 14:31:31 lvl1: 	System "arcade" has no games! Ignoring it.
Mar 14 14:31:32 lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/atari2600/gamelist.xml"...
Mar 14 14:31:32 lvl0: 	Error parsing XML file "/home/pi/.emulationstation/gamelists/atari2600/gamelist.xml"!
	No document element found
Mar 14 14:31:32 lvl1: 	Error - folder with path "/home/pi/RetroPie/roms/atari5200" is not a directory!
